"job_title","company_name","location","work_modality","salary_range","company_website","company_phone","brief_description","job_url"
"Digital Marketing Manager","Basic Fun, Inc.","Boca Raton, FL","Hybrid","$64,800 - $94,600","https://www.basicfun.com","(561) 997-8901","Leads key digital marketing functions including social media, ecommerce, and digital advertising channels. Primary focus spans paid and organic social, ecommerce platforms, and digital ad campaigns to drive brand visibility and sales. Performance indicators include channel engagement, ecommerce metrics, and campaign ROI for a global children's entertainment brand.","https://www.ziprecruiter.com/c/BASIC-FUN-INC/Job/Digital-Marketing-Manager/-in-Boca-Raton,FL?jid=8959b8a95955da33"
"Digital Marketing Manager","ASR Group / FCI Residential","Boca Raton, FL","On-site","$65,000 - $94,900","https://asr-group.com","Not Found","Develops and manages a comprehensive digital marketing strategy aligned with business objectives across digital platforms. Primary channels include content marketing, paid digital ads, and AI-driven campaigns targeting brand awareness and lead generation. Core KPIs include audience engagement rates, brand reach, and qualified lead volume for a real estate division.","https://www.ziprecruiter.com/c/ASR-Group/Job/Digital-Marketing-Manager/-in-Boca-Raton,FL?jid=d4641c4175e1d66e"
"Digital Marketing Manager","Elevate Aviation Group LLC","Boca Raton, FL","On-site","Not Disclosed","https://eag.aero","Not Found","Requires a Bachelor's degree in Business, Marketing, Economics, or related field. Primary channels include paid search, paid social, display advertising, and email marketing with a focus on performance marketing campaign management. Core KPIs include customer acquisition, engagement, and retention metrics tracked through analytics and marketing automation platforms.","https://www.indeed.com/viewjob?jk=8303e5e13dfcab57"
"Director, Digital Marketing","Cinch Home Services, Inc.","Boca Raton, FL","On-site","~$126,721/year (reported average)","https://www.cinchhomeservices.com","(844) 324-5688","Requires in-depth marketing experience with a passion for digital technologies and cross-departmental collaboration. Leads long-term digital marketing strategy across all channels in coordination with IT and other business units. Core performance indicators include channel consistency, digital growth metrics, and overall marketing effectiveness for a home warranty and services company.","https://www.ziprecruiter.com/c/Cinch-Home-Services,-Inc./Job/Director,-Digital-Marketing/-in-Boca-Raton,FL?jid=425fc896d844bdfa"
"Director of Digital Marketing","Modernizing Medicine (ModMed)","Boca Raton, FL","Hybrid","$68,000 - $131,000","https://www.modmed.com","(561) 880-2998","Requires 7+ years of relevant digital marketing experience in a B2B environment, preferably healthcare technology. Primary channels include digital acquisition, demand generation programs, and lead generation for cloud-based EHR platforms serving specialty practices. Core KPIs include pipeline contribution, cost per lead, and demand generation program performance.","https://www.indeed.com/q-Modernizing-Medicine-l-Boca-Raton,-FL-jobs.html"
"Director, Digital Marketing & Technology","Grifols","Boca Raton, FL","Hybrid","Not Disclosed","https://www.grifols.com","Not Found","Requires a Bachelor's degree in Business Administration or Digital Marketing to lead digital transformation initiatives. Primary channels include SEO, SEM, social media, email marketing, content marketing, CRM, and web/app management across all customer touchpoints. Core KPIs include digital channel performance, audience engagement, and campaign effectiveness managed by a team of digital specialists.","https://grifols.jobs/boca-raton-fl/director-digital-marketing-technology/75367BCCFE6F4B13BB993324A9B4A0CA/job/"
"Director of Digital Marketing","4Ever Young Anti-Aging Solutions","Boca Raton, FL","Hybrid","Not Disclosed","https://4everyoungantiaging.com","(561) 320-8111","Manages digital media strategy across all franchise locations and oversees digital media partner relationships. Primary channels include digital media buying, CRM management, and company website optimization. Core KPIs include analytics reporting, campaign performance, and CRM system effectiveness for a nationwide medical aesthetics and wellness brand.","https://www.salary.com/job/4ever-young-anti-aging-solutions/director-of-digital-marketing-boca-raton-or-hybrid/j202405290021442564131"
"Digital Marketing Leader","Cinch Home Services, Inc.","Boca Raton, FL","On-site","Not Disclosed","https://www.cinchhomeservices.com","(844) 324-5688","Requires in-depth marketing experience and a passion for digital technologies with strong cross-functional collaboration skills. Develops and executes long-term digital marketing strategies across all digital channels and customer touchpoints. Core performance indicators include channel consistency, digital campaign effectiveness, and alignment with overall business objectives.","https://www.ziprecruiter.com/c/Cinch-Home-Services,-Inc./Job/Digital-Marketing-Leader/-in-Boca-Raton,FL?jid=9dccfbcfbf77b31c"
"Digital Marketing Manager","MASA Global","Boca Raton, FL","On-site","Not Disclosed","https://www.masamembership.com","(800) 643-9023","Leads digital acquisition efforts with a focus on driving measurable, mission-aligned growth for an emergency assistance membership provider. Primary channels include digital lead generation and customer acquisition programs. Core KPIs include digital acquisition volume, cost per acquisition, and membership growth metrics.","https://www.indeed.com/q-digital-marketing-manager-l-boca-raton,-fl-jobs.html"
"Associate Creative Director, Digital","Celsius Holdings","Boca Raton, FL","Hybrid","Not Disclosed","https://www.celsiusholdingsinc.com","(561) 276-2239","Leads creative vision and execution across all digital touchpoints including product launches and evergreen content for a global CPG energy drink brand. Primary channels include digital campaigns, social media, and branded content across owned and paid digital platforms. Core KPIs include campaign impact, brand engagement, and creative performance metrics for the CELSIUS lifestyle brand.","https://apply.workable.com/celsius/"
"Marketing Manager","Robert Half (Client Confidential)","Boca Raton, FL","On-site","$47.50 - $55.00/hour","https://www.roberthalf.com","(561) 226-0060","Long-term contract role overseeing both digital and traditional marketing campaigns from strategy through execution for an undisclosed Boca Raton-area client. Primary channels span digital and traditional media with cross-functional collaboration and analytics reporting responsibilities. Core KPIs include campaign performance analytics, reporting accuracy, and successful execution of integrated marketing initiatives.","https://www.roberthalf.com/us/en/job/boca-raton-fl/marketing-manager/01020-0013406124-usen"
